,code,course name,EOS,Mid,test
0,AC120,International Business,209.0,280.0,no
1,AC137,Liberal Arts,252.0,270.0,no
2,AD101,"First Year Art & Design (Common Entry,portfolio)",0.0,0.0,yes
3,AD102,Graphic Design and Moving Image Design (portfolio),0.0,0.0,yes
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),0.0,0.0,yes
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",0.0,0.0,yes
6,AD204,Fine Art (portfolio),0.0,0.0,yes
7,AD211,Fashion Design (portfolio),0.0,0.0,yes
8,AD212,Product Design (portfolio),0.0,0.0,yes
9,AD215,Visual Culture,320.0,389.0,no
10,AD217,Illustration (portfolio),0.0,0.0,yes
11,AD222,Interaction Design (portfolio),0.0,0.0,yes
45,AL801,Software Design with Virtual Reality and Gaming,303.0,367.0,no
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332.0,382.0,no
47,AL803,Software Design with Mobile Apps and Connected Devices,337.0,360.0,no
48,AL805,Computer Engineering with Network Infrastructure,333.0,360.0,no
49,AL810,Quantity Surveying,326.0,352.0,no
50,AL811,Civil Engineering,320.0,432.0,no
51,AL820,Mechanical and Polymer Engineering,308.0,379.0,no
52,AL830,General Nursing,442.0,463.0,no
53,AL832,Psychiatric Nursing,384.0,399.0,no
54,AL836,Nutrition and Health Science,334.0,379.0,no
55,AL837,Sports Science with Exercise Physiology,351.0,384.0,no
56,AL838,Biotechnology,307.0,356.0,no
57,AL839,Microbiology,325.0,393.0,no
58,AL840,Pharmaceutical Sciences,347.0,403.0,no
59,AL841,Athletic and Rehabilitation Therapy,430.0,465.0,no
60,AL842,Bioveterinary Science,313.0,383.0,no
61,AL843,Physical Activity and Health Science,306.0,326.0,no
62,AL850,Business,309.0,377.0,no
63,AL851,Business and Law,295.0,351.0,no
64,AL852,Accounting,309.0,422.0,no
65,AL854,Sport Management (with international placement),299.0,338.0,no
66,AL855,Hospitality Management (with international placement),308.0,347.0,no
67,AL857,Digital Marketing,304.0,332.0,no
68,AL860,Social Care Practice,300.0,348.0,no
69,AL861,Animation and Illustration (portfolio),578.0,878.0,yes
70,AL863,Graphic and Digital Design (portfolio),781.0,824.0,yes
71,AL864,Early Years Care and Education,307.0,346.0,no
72,AL870,Applied Psychology,418.0,444.0,no
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",518.0,544.0,no
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",434.0,466.0,no
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440.0,484.0,no
76,AS051,"Nutrition, Food and Business Management",317.0,398.0,no
77,AS054,Home Economics,398.0,429.0,no
78,AS110,General Nursing,419.0,431.0,no
79,AS130,Intellectual Disability Nursing,317.0,339.0,no
83,CI110,Counselling and Psychotherapy,310.0,392.0,no
84,CI111,Counselling and Addiction Studies,301.0,319.0,no
85,CI112,Counselling and Youth Studies,311.0,311.0,no
86,CK101,Arts - 3 years,300.0,388.0,no
87,CK102,Social Science,412.0,451.0,no
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302.0,435.0,yes
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),319.0,418.0,no
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328.0,388.0,no
91,CK108,Arts International - 4 years,401.0,466.0,no
92,CK109,English - 3 years or 4 years (International Pathway),318.0,441.0,no
93,CK110,World Languages,410.0,506.0,no
94,CK111,Early Years and Childhood Studies,419.0,451.0,no
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330.0,434.0,yes
96,CK113,Criminology - 3 years or 4 years (International Pathway),423.0,463.0,no
97,CK114,Social Science (Youth and Community Work) - 3 years,777.0,0.0,yes
98,CK115,Social Work - Mature Applicants only,999.0,0.0,no
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336.0,378.0,no
100,CK120,Applied Psychology,531.0,555.0,no
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,496.0,no
102,CK122,Government and Political Science,326.0,403.0,no
103,CK123,Anthropology,308.0,410.0,no
104,CK124,Education - Gaeilge,452.0,495.0,no
105,CK125,Sports Studies and Physical Education,509.0,532.0,no
106,CK201,Commerce,477.0,509.0,no
107,CK202,Accounting,509.0,542.0,no
108,CK203,Business Information Systems,430.0,467.0,no
109,CK204,Finance,556.0,590.0,no
110,CK205,Commerce (International) with French,445.0,495.0,no
111,CK206,Commerce (International) with German,418.0,476.0,no
112,CK207,Commerce (International) with Italian,388.0,455.0,no
113,CK208,Commerce (International) with Hispanic Studies,402.0,484.0,no
114,CK209,Commerce (International) with Irish,484.0,531.0,no
115,CK211,Commerce (International) with Chinese Studies,397.0,433.0,no
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444.0,473.0,no
117,CK213,Food Marketing and Entrepreneurship,462.0,476.0,no
118,CK214,International Development,346.0,422.0,no
119,CK301,Law (Pathways) -  3 or 4 years,498.0,531.0,no
120,CK302,Law and French,542.0,576.0,no
121,CK304,Law and Irish,540.0,565.0,no
122,CK307,Law and Business,556.0,589.0,no
123,CK401,Computer Science,468.0,509.0,no
124,CK402,Biological and Chemical Sciences,509.0,532.0,no
125,CK404,"Biological, Earth and Environmental Sciences",465.0,498.0,no
126,CK405,Genetics,487.0,498.0,no
127,CK406,Chemical Sciences,462.0,494.0,no
128,CK407,Mathematical Sciences,565.0,601.0,no
129,CK408,Physics and Astrophysics,531.0,589.0,no
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,432.0,499.0,no
131,CK411,Data Science and Analytics,509.0,554.0,no
132,CK412,Agricultural Science,489.0,510.0,no
133,CK504,Nutritional Sciences,517.0,554.0,no
134,CK505,Food Science,420.0,465.0,no
135,CK600,Engineering,487.0,532.0,no
136,CK606,Architecture - Offered jointly by UCC and CIT,469.0,510.0,no
137,CK701,Medicine (Undergraduate Entry - HPAT required),731.0,739.0,yes
138,CK702,Dentistry,613.0,613.0,no
139,CK703,Pharmacy,589.0,602.0,no
140,CK704,Occupational Therapy,555.0,577.0,no
141,CK705,Speech and Language Therapy,520.0,541.0,no
142,CK706,Public Health Sciences,454.0,477.0,no
143,CK707,Medical and Health Sciences,541.0,555.0,no
144,CK710,General Nursing,454.0,477.0,no
145,CK712,Children`s and General Nursing (Integrated),533.0,553.0,no
146,CK720,Mental Health Nursing,419.0,440.0,no
147,CK730,Intellectual Disability Nursing,400.0,433.0,no
148,CK740,Midwifery,473.0,507.0,no
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57.0,58.0,yes
150,CM001,Education - Primary Teaching,484.0,487.0,no
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,0.0,0.0,yes
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528.0,570.0,yes
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494.0,513.0,yes
154,CM010,Education Studies,317.0,407.0,no
155,CM020,Early Childhood Education,327.0,390.0,no
180,CR105,Chemical and Biopharmaceutical Engineering,443.0,532.0,no
181,CR106,Software Development,411.0,463.0,no
182,CR108,Mechanical Engineering,434.0,509.0,no
183,CR109,Structural Engineering,394.0,423.0,no
184,CR110,Automotive Business Management and Technology,311.0,362.0,no
185,CR112,Creative Digital Media,361.0,430.0,no
186,CR116,Computer Systems,332.0,393.0,no
187,CR121,Music at CIT Cork School of Music,912.0,1078.0,yes
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088.0,1088.0,yes
189,CR126,Popular Music: Drums at CIT Cork School of Music,801.0,940.0,yes
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768.0,978.0,yes
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840.0,881.0,yes
192,CR129,Popular Music: Voice at CIT Cork School of Music,841.0,966.0,yes
193,CR130,Musical Theatre at CIT Cork School of Music,505.0,600.0,yes
194,CR150,Business Information Systems,335.0,391.0,no
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",0.0,0.0,yes
196,CR220,Fine Art at CIT Crawford College of Art and Design,0.0,0.0,yes
197,CR225,Photography with New Media,0.0,0.0,yes
199,CR305,Physical Sciences (Common Entry),282.0,356.0,no
200,CR310,IT Management,297.0,339.0,no
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565.0,577.0,no
202,CR325,Pharmaceutical Biotechnology,398.0,440.0,no
203,CR333,Nutrition and Health Science,402.0,433.0,no
204,CR335,Biological Sciences (Common Entry),420.0,451.0,no
205,CR340,Analytical Chemistry with Quality Assurance,251.0,366.0,no
206,CR360,Instrument Engineering,261.0,388.0,no
207,CR365,Environmental Science and Sustainable Technology,253.0,341.0,no
208,CR370,Agri-Biosciences,397.0,453.0,no
209,CR400,Accounting,316.0,413.0,no
210,CR420,Marketing,285.0,346.0,no
211,CR425,International Business with Language,298.0,412.0,no
212,CR430,Sport and Exercise Management,322.0,407.0,no
213,CR440,Montessori Education,288.0,362.0,no
214,CR500,Engineering (Common Entry),411.0,465.0,no
