code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
AL801,Software Design for Virtual Reality and Gaming,300.0,359.0,no,303.0,367.0,no,304.0,328.0,no
AL802,Software Design in Artificial Intelligence for Cloud Computing,313.0,381.0,no,332.0,382.0,no,301.0,306.0,no
AL803,Software Design for Mobile Apps and Connected Devices,350.0,398.0,no,337.0,360.0,no,309.0,337.0,no
AL805,Computer Engineering for Network Infrastructure,321.0,381.0,no,333.0,360.0,no,329.0,442.0,no
AL810,Quantity Surveying,328.0,377.0,no,326.0,352.0,no,307.0,349.0,no
AL811,Civil Engineering,0.0,0.0,no,320.0,432.0,no,,,
AL820,Mechanical and Polymer Engineering,327.0,398.0,no,308.0,379.0,no,300.0,358.0,no
AL830,General Nursing,440.0,455.0,no,442.0,463.0,no,410.0,429.0,no
AL832,Mental Health Nursing,431.0,451.0,no,384.0,399.0,no,387.0,403.0,no
AL835,Pharmacology,356.0,429.0,no,,,,,,
AL836,Nutrition and Health Science,346.0,398.0,no,334.0,379.0,no,352.0,383.0,no
AL837,Sports Science with Exercise Physiology,357.0,409.0,no,351.0,384.0,no,351.0,392.0,no
AL838,Biotechnology,324.0,434.0,no,307.0,356.0,no,302.0,372.0,no
AL839,Microbiology,325.0,408.0,no,325.0,393.0,no,322.0,371.0,no
AL840,Pharmaceutical Sciences,346.0,402.0,no,347.0,403.0,no,328.0,411.0,no
AL841,Athletic and Rehabilitation Therapy,462.0,489.0,no,430.0,465.0,no,423.0,430.0,no
AL842,Bioveterinary Science,338.0,413.0,no,313.0,383.0,no,310.0,366.0,no
AL843,Physical Activity and Health Science,306.0,358.0,no,306.0,326.0,no,310.0,330.0,no
AL849,Culinary Entrepreneurship,297.0,327.0,no,,,,,,
AL850,Business,309.0,369.0,no,309.0,377.0,no,307.0,356.0,no
AL851,Business and Law,302.0,357.0,no,295.0,351.0,no,301.0,341.0,no
AL852,Accounting,336.0,466.0,no,309.0,422.0,no,290.0,346.0,no
AL854,Sport Management (with international placement),299.0,349.0,no,299.0,338.0,no,,,
AL855,Hospitality Management (with international placement),309.0,378.0,no,308.0,347.0,no,312.0,357.0,no
